Date (UTC),Type,From account / from category,From subcategory,To account / to category,To subcategory,Amount 1,Currency 1,Amount 2,Currency 2,Commission,Commission currency,Tax,Tax currency,Comment
2025-10-14T17:00:00.000Z,Expense,Primary Account,,Bills,,22421,IDR,22421,IDR,,,,,Water
2025-10-15T17:00:00.000Z,Expense,Primary Account,,Groceries,,188345,IDR,188345,IDR,,,,,Indomaret
2025-10-16T17:00:00.000Z,Expense,Primary Account,,Others,,132663,IDR,132663,IDR,,,,,Random purchase
2025-10-18T17:00:00.000Z,Expense,Primary Account,,Bills,,82810,IDR,82810,IDR,,,,,Electricity
2025-10-22T17:00:00.000Z,Expense,Primary Account,,Others,,60251,IDR,60251,IDR,,,,,Random purchase
2025-10-23T17:00:00.000Z,Expense,Primary Account,,Bills,,181599,IDR,181599,IDR,,,,,Internet
2025-10-23T17:00:00.000Z,Expense,Primary Account,,Personal Care,,141763,IDR,141763,IDR,,,,,Skincare
2025-10-24T17:00:00.000Z,Expense,Primary Account,,Entertainment,,98476,IDR,98476,IDR,,,,,Game top-up
2025-10-24T17:00:00.000Z,Expense,Primary Account,,Others,,18736,IDR,18736,IDR,,,,,Random purchase
2025-10-25T17:00:00.000Z,Expense,Primary Account,,Bills,,28885,IDR,28885,IDR,,,,,Water
2025-10-25T17:00:00.000Z,Expense,Primary Account,,Health,,186863,IDR,186863,IDR,,,,,Checkup
2025-10-25T17:00:00.000Z,Expense,Primary Account,,Food,,153380,IDR,153380,IDR,,,,,Coffee
2025-10-25T17:00:00.000Z,Expense,Primary Account,,Personal Care,,122656,IDR,122656,IDR,,,,,Shampoo
2025-10-25T17:00:00.000Z,Expense,Primary Account,,Personal Care,,132198,IDR,132198,IDR,,,,,Shampoo
2025-10-27T17:00:00.000Z,Expense,Primary Account,,Transport,,172557,IDR,172557,IDR,,,,,Grab
2025-10-28T17:00:00.000Z,Expense,Primary Account,,Health,,196028,IDR,196028,IDR,,,,,Checkup
2025-10-29T17:00:00.000Z,Expense,Primary Account,,Transport,,43402,IDR,43402,IDR,,,,,Busway
2025-10-29T17:00:00.000Z,Expense,Primary Account,,Transport,,143219,IDR,143219,IDR,,,,,Busway
2025-10-30T17:00:00.000Z,Expense,Primary Account,,Bills,,72249,IDR,72249,IDR,,,,,Internet
2025-10-31T17:00:00.000Z,Expense,Primary Account,,Groceries,,142774,IDR,142774,IDR,,,,,Supermarket
2025-10-31T17:00:00.000Z,Expense,Primary Account,,Health,,160650,IDR,160650,IDR,,,,,Checkup
2025-11-01T17:00:00.000Z,Income,Company Payroll,,Primary Account,,7000000,IDR,7000000,IDR,,,,,Monthly Salary
2025-11-01T17:00:00.000Z,Expense,Primary Account,,Food,,187087,IDR,187087,IDR,,,,,Dinner
2025-11-01T17:00:00.000Z,Expense,Primary Account,,Transport,,52585,IDR,52585,IDR,,,,,MRT
2025-11-01T17:00:00.000Z,Expense,Primary Account,,Entertainment,,187480,IDR,187480,IDR,,,,,Game top-up
2025-11-01T17:00:00.000Z,Expense,Primary Account,,Health,,46687,IDR,46687,IDR,,,,,Vitamin
2025-11-02T17:00:00.000Z,Expense,Primary Account,,Health,,35607,IDR,35607,IDR,,,,,Medicine
2025-11-02T17:00:00.000Z,Expense,Primary Account,,Personal Care,,29927,IDR,29927,IDR,,,,,Shampoo
2025-11-03T17:00:00.000Z,Expense,Primary Account,,Personal Care,,17766,IDR,17766,IDR,,,,,Skincare
2025-11-03T17:00:00.000Z,Expense,Primary Account,,Bills,,138608,IDR,138608,IDR,,,,,Internet
2025-11-03T17:00:00.000Z,Expense,Primary Account,,Entertainment,,154975,IDR,154975,IDR,,,,,Movie ticket
2025-11-04T17:00:00.000Z,Expense,Primary Account,,Personal Care,,188177,IDR,188177,IDR,,,,,Shampoo
2025-11-04T17:00:00.000Z,Expense,Primary Account,,Personal Care,,172166,IDR,172166,IDR,,,,,Soap
2025-11-04T17:00:00.000Z,Expense,Primary Account,,Bills,,196937,IDR,196937,IDR,,,,,Electricity
2025-11-05T17:00:00.000Z,Expense,Primary Account,,Personal Care,,112137,IDR,112137,IDR,,,,,Shampoo
2025-11-05T17:00:00.000Z,Expense,Primary Account,,Transport,,50428,IDR,50428,IDR,,,,,MRT
2025-11-06T17:00:00.000Z,Expense,Primary Account,,Health,,33991,IDR,33991,IDR,,,,,Medicine
2025-11-06T17:00:00.000Z,Expense,Primary Account,,Food,,126584,IDR,126584,IDR,,,,,Snack
2025-11-06T17:00:00.000Z,Expense,Primary Account,,Health,,36799,IDR,36799,IDR,,,,,Vitamin
2025-11-07T17:00:00.000Z,Expense,Primary Account,,Transport,,122978,IDR,122978,IDR,,,,,Grab
2025-11-07T17:00:00.000Z,Expense,Primary Account,,Others,,155421,IDR,155421,IDR,,,,,Small stuff
2025-11-08T17:00:00.000Z,Expense,Primary Account,,Transport,,33493,IDR,33493,IDR,,,,,Gojek
2025-11-08T17:00:00.000Z,Expense,Primary Account,,Health,,34396,IDR,34396,IDR,,,,,Clinic
2025-11-08T17:00:00.000Z,Expense,Primary Account,,Health,,13235,IDR,13235,IDR,,,,,Vitamin
2025-11-09T17:00:00.000Z,Expense,Primary Account,,Entertainment,,189651,IDR,189651,IDR,,,,,Spotify
2025-11-09T17:00:00.000Z,Expense,Primary Account,,Personal Care,,46396,IDR,46396,IDR,,,,,Shampoo
2025-11-09T17:00:00.000Z,Expense,Primary Account,,Personal Care,,32203,IDR,32203,IDR,,,,,Toiletries
2025-11-10T17:00:00.000Z,Expense,Primary Account,,Bills,,139269,IDR,139269,IDR,,,,,Internet
2025-11-10T17:00:00.000Z,Expense,Primary Account,,Groceries,,53832,IDR,53832,IDR,,,,,Mini market
2025-11-10T17:00:00.000Z,Expense,Primary Account,,Personal Care,,120389,IDR,120389,IDR,,,,,Skincare
2025-11-11T17:00:00.000Z,Expense,Primary Account,,Others,,104666,IDR,104666,IDR,,,,,Misc
2025-11-11T17:00:00.000Z,Expense,Primary Account,,Bills,,198979,IDR,198979,IDR,,,,,Electricity
2025-11-11T17:00:00.000Z,Expense,Primary Account,,Others,,171656,IDR,171656,IDR,,,,,Small stuff
2025-11-12T17:00:00.000Z,Expense,Primary Account,,Bills,,113728,IDR,113728,IDR,,,,,Electricity
2025-11-12T17:00:00.000Z,Expense,Primary Account,,Others,,45517,IDR,45517,IDR,,,,,Misc
2025-11-13T17:00:00.000Z,Expense,Primary Account,,Personal Care,,125401,IDR,125401,IDR,,,,,Skincare
2025-11-13T17:00:00.000Z,Expense,Primary Account,,Health,,180665,IDR,180665,IDR,,,,,Vitamin
2025-11-13T17:00:00.000Z,Expense,Primary Account,,Groceries,,94060,IDR,94060,IDR,,,,,Supermarket
2025-11-14T17:00:00.000Z,Expense,Primary Account,,Others,,56566,IDR,56566,IDR,,,,,Random purchase
2025-11-14T17:00:00.000Z,Expense,Primary Account,,Personal Care,,86401,IDR,86401,IDR,,,,,Skincare
2025-11-15T17:00:00.000Z,Expense,Primary Account,,Entertainment,,108580,IDR,108580,IDR,,,,,Movie ticket
2025-11-15T17:00:00.000Z,Expense,Primary Account,,Bills,,105686,IDR,105686,IDR,,,,,Internet
2025-11-15T17:00:00.000Z,Expense,Primary Account,,Transport,,62376,IDR,62376,IDR,,,,,Fuel
2025-11-16T17:00:00.000Z,Expense,Primary Account,,Entertainment,,86370,IDR,86370,IDR,,,,,Game top-up
2025-11-16T17:00:00.000Z,Expense,Primary Account,,Food,,195694,IDR,195694,IDR,,,,,Coffee
2025-11-17T17:00:00.000Z,Expense,Primary Account,,Personal Care,,46484,IDR,46484,IDR,,,,,Toiletries
2025-11-17T17:00:00.000Z,Expense,Primary Account,,Bills,,76238,IDR,76238,IDR,,,,,Electricity
2025-11-18T17:00:00.000Z,Expense,Primary Account,,Personal Care,,29389,IDR,29389,IDR,,,,,Toiletries
2025-11-18T17:00:00.000Z,Expense,Primary Account,,Others,,135628,IDR,135628,IDR,,,,,Small stuff
2025-11-19T17:00:00.000Z,Expense,Primary Account,,Personal Care,,104248,IDR,104248,IDR,,,,,Soap
2025-11-19T17:00:00.000Z,Expense,Primary Account,,Transport,,75072,IDR,75072,IDR,,,,,Gojek
2025-11-19T17:00:00.000Z,Expense,Primary Account,,Health,,179607,IDR,179607,IDR,,,,,Medicine
2025-11-20T17:00:00.000Z,Expense,Primary Account,,Personal Care,,122841,IDR,122841,IDR,,,,,Skincare
2025-11-20T17:00:00.000Z,Expense,Primary Account,,Transport,,35849,IDR,35849,IDR,,,,,Gojek
2025-11-21T17:00:00.000Z,Expense,Primary Account,,Entertainment,,126858,IDR,126858,IDR,,,,,Spotify
2025-11-21T17:00:00.000Z,Expense,Primary Account,,Health,,131389,IDR,131389,IDR,,,,,Vitamin
2025-11-21T17:00:00.000Z,Expense,Primary Account,,Groceries,,16438,IDR,16438,IDR,,,,,Supermarket
2025-11-22T17:00:00.000Z,Expense,Primary Account,,Transport,,119045,IDR,119045,IDR,,,,,MRT
2025-11-22T17:00:00.000Z,Expense,Primary Account,,Transport,,47139,IDR,47139,IDR,,,,,Gojek
2025-11-22T17:00:00.000Z,Expense,Primary Account,,Health,,99932,IDR,99932,IDR,,,,,Vitamin
2025-11-23T17:00:00.000Z,Expense,Primary Account,,Entertainment,,101304,IDR,101304,IDR,,,,,Game top-up
2025-11-23T17:00:00.000Z,Expense,Primary Account,,Others,,27609,IDR,27609,IDR,,,,,Random purchase
2025-11-23T17:00:00.000Z,Expense,Primary Account,,Others,,124862,IDR,124862,IDR,,,,,Misc
2025-11-24T17:00:00.000Z,Expense,Primary Account,,Food,,15920,IDR,15920,IDR,,,,,Lunch
2025-11-24T17:00:00.000Z,Expense,Primary Account,,Health,,38668,IDR,38668,IDR,,,,,Clinic
2025-11-24T17:00:00.000Z,Expense,Primary Account,,Groceries,,73940,IDR,73940,IDR,,,,,Fresh veggies
2025-12-01T17:00:00.000Z,Income,Company Payroll,,Primary Account,,7000000,IDR,7000000,IDR,,,,,Monthly Salary
2025-12-02T17:00:00.000Z,Expense,Primary Account,,Food,,92097,IDR,92097,IDR,,,,,Lunch
2025-12-02T17:00:00.000Z,Expense,Primary Account,,Transport,,78513,IDR,78513,IDR,,,,,Gojek
2025-12-03T17:00:00.000Z,Expense,Primary Account,,Food,,162964,IDR,162964,IDR,,,,,Coffee
2025-12-05T17:00:00.000Z,Expense,Primary Account,,Food,,44561,IDR,44561,IDR,,,,,Lunch
2025-12-05T17:00:00.000Z,Expense,Primary Account,,Bills,,145000,IDR,145000,IDR,,,,,Internet
2025-12-06T17:00:00.000Z,Expense,Primary Account,,Health,,177815,IDR,177815,IDR,,,,,Vitamin
2025-12-08T17:00:00.000Z,Expense,Primary Account,,Entertainment,,162853,IDR,162853,IDR,,,,,Movie ticket
2025-12-09T17:00:00.000Z,Expense,Primary Account,,Personal Care,,174472,IDR,174472,IDR,,,,,Toiletries
2025-12-10T17:00:00.000Z,Expense,Primary Account,,Food,,61853,IDR,61853,IDR,,,,,Lunch
